sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked
e02822-2-MiFish	e02822-2-MiFish	1	e02822-2-MiFish_S133_L001_R1_001.fastq.gz	e02822-2-MiFish_S133_L001_R2_001.fastq.gz	24541	24541	24138	24138	5641	5641	5200	5200	5200
e02823-1-MiFish	e02823-1-MiFish	1	e02823-1-MiFish_S97_L001_R1_001.fastq.gz	e02823-1-MiFish_S97_L001_R2_001.fastq.gz	54547	54547	53728	53728	35617	35617	32078	32078	30469
e02823-2-MiFish	e02823-2-MiFish	1	e02823-2-MiFish_S134_L001_R1_001.fastq.gz	e02823-2-MiFish_S134_L001_R2_001.fastq.gz	50600	50600	49808	49808	33164	33164	31211	31211	31154
e02824-1-MiFish	e02824-1-MiFish	1	e02824-1-MiFish_S98_L001_R1_001.fastq.gz	e02824-1-MiFish_S98_L001_R2_001.fastq.gz	28779	28779	28337	28337	2915	2915	2628	2628	2628
e02824-2-MiFish	e02824-2-MiFish	1	e02824-2-MiFish_S135_L001_R1_001.fastq.gz	e02824-2-MiFish_S135_L001_R2_001.fastq.gz	4107	4107	4057	4057	210	210	27	27	27
e02825-1-MiFish	e02825-1-MiFish	1	e02825-1-MiFish_S99_L001_R1_001.fastq.gz	e02825-1-MiFish_S99_L001_R2_001.fastq.gz	114588	114588	112597	112597	58782	58782	52548	52548	50712
e02825-2-MiFish	e02825-2-MiFish	1	e02825-2-MiFish_S136_L001_R1_001.fastq.gz	e02825-2-MiFish_S136_L001_R2_001.fastq.gz	118177	118177	116038	116038	56905	56905	49477	49477	47672
e02826-1-MiFish	e02826-1-MiFish	1	e02826-1-MiFish_S100_L001_R1_001.fastq.gz	e02826-1-MiFish_S100_L001_R2_001.fastq.gz	113417	113417	111461	111461	48014	48014	43227	43227	39989
e02826-2-MiFish	e02826-2-MiFish	1	e02826-2-MiFish_S137_L001_R1_001.fastq.gz	e02826-2-MiFish_S137_L001_R2_001.fastq.gz	95023	95023	93266	93266	36649	36649	33735	33735	33069
e02827-1-MiFish	e02827-1-MiFish	1	e02827-1-MiFish_S101_L001_R1_001.fastq.gz	e02827-1-MiFish_S101_L001_R2_001.fastq.gz	138729	138729	136234	136234	74192	74192	63846	63846	60423
