sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_merged	reads_tabled	reads_chimera_checked
e02832-2-18S	e02832-2-18S	1	e02832-2-18S_S69_L001_R1_001.fastq.gz	e02832-2-18S_S69_L001_R2_001.fastq.gz	25205	25205	24714	24714	24653	24653	24322	24322	24293
e02833-1-18S	e02833-1-18S	1	e02833-1-18S_S33_L001_R1_001.fastq.gz	e02833-1-18S_S33_L001_R2_001.fastq.gz	23755	23755	23290	23290	23237	23237	22895	22895	22889
e02833-2-18S	e02833-2-18S	1	e02833-2-18S_S70_L001_R1_001.fastq.gz	e02833-2-18S_S70_L001_R2_001.fastq.gz	21976	21976	21491	21491	21427	21427	20845	20845	20837
e02834-1-18S	e02834-1-18S	1	e02834-1-18S_S34_L001_R1_001.fastq.gz	e02834-1-18S_S34_L001_R2_001.fastq.gz	151	151	97	97	94	94	63	63	63
e02834-2-18S	e02834-2-18S	1	e02834-2-18S_S71_L001_R1_001.fastq.gz	e02834-2-18S_S71_L001_R2_001.fastq.gz	39770	39770	39094	39094	39045	39045	37776	37776	37280
e02835-1-18S	e02835-1-18S	1	e02835-1-18S_S35_L001_R1_001.fastq.gz	e02835-1-18S_S35_L001_R2_001.fastq.gz	13063	13063	10972	10972	10904	10904	10616	10616	10616
e02835-2-18S	e02835-2-18S	1	e02835-2-18S_S72_L001_R1_001.fastq.gz	e02835-2-18S_S72_L001_R2_001.fastq.gz	12295	12295	11968	11968	11432	11432	11110	11110	11109
NC-1-18S	NC-1-18S	1	NC-1-18S_S36_L001_R1_001.fastq.gz	NC-1-18S_S36_L001_R2_001.fastq.gz	139	139	88	88	83	83	56	56	56
NC-2-18S	NC-2-18S	1	NC-2-18S_S73_L001_R1_001.fastq.gz	NC-2-18S_S73_L001_R2_001.fastq.gz	6323	6323	6036	6036	5952	5952	5840	5840	5840
PC-1-18S	PC-1-18S	1	PC-1-18S_S37_L001_R1_001.fastq.gz	PC-1-18S_S37_L001_R2_001.fastq.gz	32610	32610	31983	31983	31885	31885	31275	31275	29323
PC-2-18S	PC-2-18S	1	PC-2-18S_S74_L001_R1_001.fastq.gz	PC-2-18S_S74_L001_R2_001.fastq.gz	38747	38747	37965	37965	37846	37846	37083	37083	34650
